ingred_clean,dfg_clean,ingred_desc,simple_name,ingred_code,sample_id,Similarity,match,replace
spread vegetable oil margarine like fat added d 60 salt vitamin tub,chip vegetable,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",Vegetable chips,4694,548,0.429,n,
spread vegetable oil margarine like fat added d sticktubbottle 60 vitamin,vegetable juice,"Margarine-like vegetable-oil spread, stick/tub/bottle, 60% fat, with added vitamin D",Vegetable juice,4695,234,0.387,n,
fat margarine without d added composite salt vitamin 80 stick regular,large house green tomato whole,"Margarine, regular, 80% fat, composite, stick, without salt, with added vitamin D",Whole Green house (large) tomato,4696,75,0.272,n,
oleic oil canola high industrial,granola,"Oil, industrial, canola, high oleic",Granola,4698,775,0.403,n,
oil soy linolenic low industrial,soy milk,"Oil, industrial, soy, low linolenic",Soy milk,4699,228,0.261,n,
oil soy linolenic ultra low industrial,grain brown lentil whole,"Oil, industrial, soy, ultra low linolenic",Whole grain brown lentils,4700,460,0.251,n,
oil fully soy hydrogenated industrial,soy milk,"Oil, industrial, soy, fully hydrogenated",Soy milk,4701,228,0.235,n,
broiler breast chicken bbq meat rotisserie,breast chicken,"Chicken, broiler, rotisserie, BBQ, breast, meat only",Chicken breast,5000,875,0.593,,
giblet broiler neck chicken meat roasted fryer skin,breast chicken,"Chicken, broilers or fryers, meat and skin and giblets and neck, roasted",Chicken breast,5004,875,0.453,n,
broiler chicken stewed meat fryer,breast chicken,"Chicken, broilers or fryers, meat only, stewed",Chicken breast,5014,875,0.466,,
broiler raw chicken fryer skin,breast chicken,"Chicken, broilers or fryers, skin only, raw",Chicken breast,5015,875,0.473,n,
broiler chicken cooked roasted fryer skin,breast chicken,"Chicken, broilers or fryers, skin only, cooked, roasted",Chicken breast,5018,875,0.497,n,
giblet broiler chicken cooked fryer simmered,breast chicken,"Chicken, broilers or fryers, giblets, cooked, simmered",Chicken breast,5022,875,0.393,n,
gizzard chicken cooked all class simmered,breast chicken,"Chicken, gizzard, all classes, cooked, simmered",Chicken breast,5024,875,0.353,n,
raw liver chicken all class,breast chicken,"Chicken, liver, all classes, raw",Chicken breast,5027,875,0.446,n,
liver chicken cooked all class simmered,breast chicken,"Chicken, liver, all classes, cooked, simmered",Chicken breast,5028,875,0.41,n,
broiler chicken cooked stewed meat fryer light,breast chicken,"Chicken, broilers or fryers, light meat, meat only, cooked, stewed",Chicken breast,5042,875,0.43,,
broiler chicken cooked meat roasted fryer dark,breast chicken,"Chicken, broilers or fryers, dark meat, meat only, cooked, roasted",Chicken breast,5045,875,0.481,n,
broiler fat raw chicken fryer separable,breast chicken,"Chicken, broilers or fryers, separable fat, raw",Chicken breast,5047,875,0.436,n,
broiler chicken cooked meat roasted fryer skin back,breast chicken,"Chicken, broilers or fryers, back, meat and skin, cooked, roasted",Chicken breast,5051,875,0.499,n,
broiler chicken cooked stewed meat fryer skin back,breast chicken,"Chicken, broilers or fryers, back, meat and skin, cooked, stewed",Chicken breast,5052,875,0.455,n,
broiler breast skinless raw chicken meat fryer boneless,breast chicken,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",Chicken breast,5062,875,0.522,,
broiler breast chicken cooked meat roasted fryer,breast chicken,"Chicken, broilers or fryers, breast, meat only, cooked, roasted",Chicken breast,5064,875,0.672,,
